State,District,Year,Hazard Score,Exposure Score,Vulnerability Score,Risk Score,Risk Category,Missing_Tiers
Madhya Pradesh,Katni,2021,0.19895737,,0.572009485,0.385483428,Medium Risk,Exposure
Madhya Pradesh,Mandla,2020,0.595184948,,0.489411652,0.5422983,Medium Risk,Exposure
Madhya Pradesh,Mandla,2021,0.16301053,,0.490247962,0.326629246,Low Risk,Exposure
Madhya Pradesh,Mandsaur,2020,0.141622499,,0.546278632,0.343950566,Low Risk,Exposure
Madhya Pradesh,Mandsaur,2021,0.518662417,,0.590813392,0.554737905,Medium Risk,Exposure
Madhya Pradesh,Morena,2020,0.187530998,,0.499654527,0.343592763,Low Risk,Exposure
Madhya Pradesh,Morena,2021,0.359391183,,0.509338718,0.434364951,Medium Risk,Exposure
Madhya Pradesh,Narsimhapur,2020,0.452402574,,,0.452402574,Medium Risk,"Exposure, Vulnerability"
Madhya Pradesh,Narsimhapur,2021,0.199045921,,,0.199045921,Low Risk,"Exposure, Vulnerability"
Madhya Pradesh,Neemuch,2020,0.048413634,,0.436521595,0.242467614,Low Risk,Exposure
Madhya Pradesh,Neemuch,2021,0.490390578,,0.465251962,0.47782127,Medium Risk,Exposure
Madhya Pradesh,Panna,2020,0.255595782,,0.565272475,0.410434129,Medium Risk,Exposure
Madhya Pradesh,Panna,2021,0.132296013,,0.589074682,0.360685348,Medium Risk,Exposure
Madhya Pradesh,Raisen,2020,0.381092673,,0.573058416,0.477075545,Medium Risk,Exposure
Madhya Pradesh,Raisen,2021,0.315249654,,0.611495508,0.463372581,Medium Risk,Exposure
Madhya Pradesh,Rajgarh,2020,0.267996511,,0.589889127,0.428942819,Medium Risk,Exposure
Madhya Pradesh,Rajgarh,2021,0.487167097,,0.614292246,0.550729672,Medium Risk,Exposure
Madhya Pradesh,Ratlam,2020,0.453822575,,0.63653499,0.545178783,Medium Risk,Exposure
Madhya Pradesh,Ratlam,2021,0.56967548,,0.619804752,0.594740116,Medium Risk,Exposure
Madhya Pradesh,Rewa,2020,0.452549301,,0.691805308,0.572177305,Medium Risk,Exposure
Madhya Pradesh,Rewa,2021,0.697576772,,0.672840698,0.685208735,High Risk,Exposure
Madhya Pradesh,Sagar,2020,0.238109282,,0.687475732,0.462792507,Medium Risk,Exposure
Madhya Pradesh,Sagar,2021,0.242704114,,0.722840437,0.482772276,Medium Risk,Exposure
Madhya Pradesh,Satna,2020,0.343353152,,0.579916535,0.461634843,Medium Risk,Exposure
Madhya Pradesh,Satna,2021,0.333799159,,0.612817917,0.473308538,Medium Risk,Exposure
Madhya Pradesh,Sehore,2020,0.443208629,,0.50743313,0.47532088,Medium Risk,Exposure
Madhya Pradesh,Sehore,2021,0.349807369,,0.555497821,0.452652595,Medium Risk,Exposure
Madhya Pradesh,Seoni,2020,0.470327748,,0.553205365,0.511766557,Medium Risk,Exposure
Madhya Pradesh,Seoni,2021,0.086203021,,0.561537629,0.323870325,Low Risk,Exposure
Madhya Pradesh,Shahdol,2020,0.380322474,,0.567231535,0.473777005,Medium Risk,Exposure
Madhya Pradesh,Shahdol,2021,0.549835956,,0.570288587,0.560062272,Medium Risk,Exposure
Madhya Pradesh,Shajapur,2020,0.48872117,,0.520457925,0.504589548,Medium Risk,Exposure
Madhya Pradesh,Shajapur,2021,0.530211487,,0.552417057,0.541314272,Medium Risk,Exposure
Madhya Pradesh,Sheopur,2020,0.173402388,,0.444526746,0.308964567,Low Risk,Exposure
Madhya Pradesh,Sheopur,2021,0.61449041,,0.458436537,0.536463474,Medium Risk,Exposure
